case_num,px1,py1,gx1,gy1,px2,py2,gx2,gy2,px3,py3,gx3,gy3,px4,py4,gx4,gy4,
19,3.94,2.20,-3.94,-2.20,-4.31,0.51,4.31,-0.51,-2.68,2.57,2.68,-2.57,-3.77,1.69,3.77,-1.69,
20,-2.17,3.08,2.17,-3.08,2.81,3.15,-2.81,-3.15,-3.81,-0.96,3.81,0.96,2.99,-1.98,-2.99,1.98,
21,-1.95,3.37,1.95,-3.37,1.46,3.41,-1.46,-3.41,-3.90,-0.65,3.90,0.65,-3.01,3.39,3.01,-3.39,
22,-0.86,-3.59,0.86,3.59,-2.67,-3.49,2.67,3.49,3.65,-1.17,-3.65,1.17,1.50,-3.59,-1.50,3.59,
23,3.09,2.85,-3.09,-2.85,0.96,4.10,-0.96,-4.10,-3.16,2.44,3.16,-2.44,2.28,-3.25,-2.28,3.25,
24,3.56,-2.05,-3.56,2.05,3.32,1.54,-3.32,-1.54,-1.66,-3.81,1.66,3.81,-3.27,-2.50,3.27,2.50,
25,-1.90,-3.18,1.90,3.18,-3.94,1.79,3.94,-1.79,-3.61,0.55,3.61,-0.55,1.22,-3.49,-1.22,3.49,
26,-3.09,-2.56,3.09,2.56,-4.19,0.81,4.19,-0.81,1.59,-3.47,-1.59,3.47,-3.53,-0.54,3.53,0.54,
27,-2.04,3.67,2.04,-3.67,1.44,3.47,-1.44,-3.47,-1.95,-4.15,1.95,4.15,-0.95,3.73,0.95,-3.73,
28,3.19,2.97,-3.19,-2.97,4.02,1.83,-4.02,-1.83,4.01,0.01,-4.01,-0.01,-1.30,-3.52,1.30,3.52,
29,-1.11,-4.05,1.11,4.05,-3.67,-2.51,3.67,2.51,-2.65,3.16,2.65,-3.16,-4.12,1.28,4.12,-1.28,
30,3.78,1.11,-3.78,-1.11,2.86,-2.68,-2.86,2.68,3.82,-1.63,-3.82,1.63,-0.82,-3.40,0.82,3.40,
31,-3.95,0.84,3.95,-0.84,-2.52,-2.40,2.52,2.40,0.80,3.84,-0.80,-3.84,3.93,1.09,-3.93,-1.09,
32,3.76,-0.15,-3.76,0.15,-3.21,2.42,3.21,-2.42,1.39,4.10,-1.39,-4.10,3.61,1.88,-3.61,-1.88,
33,-3.53,1.58,3.53,-1.58,-2.96,-2.74,2.96,2.74,1.26,-3.72,-1.26,3.72,3.72,0.91,-3.72,-0.91,
34,-3.90,0.35,3.90,-0.35,-3.80,-2.59,3.80,2.59,2.00,3.93,-2.00,-3.93,-2.48,2.43,2.48,-2.43,
35,1.33,-3.55,-1.33,3.55,-3.39,-0.78,3.39,0.78,2.53,-3.59,-2.53,3.59,2.69,-2.30,-2.69,2.30,
36,4.23,0.32,-4.23,-0.32,-4.38,0.81,4.38,-0.81,1.28,-3.98,-1.28,3.98,-3.79,-1.58,3.79,1.58,
37,-3.31,-2.01,3.31,2.01,2.03,-3.09,-2.03,3.09,-2.11,-3.37,2.11,3.37,4.08,1.31,-4.08,-1.31,
38,-3.04,-2.62,3.04,2.62,2.43,-3.56,-2.43,3.56,-3.78,-1.28,3.78,1.28,-1.44,3.71,1.44,-3.71,
39,1.82,-3.54,-1.82,3.54,-1.57,-3.23,1.57,3.23,2.54,-2.38,-2.54,2.38,3.88,0.57,-3.88,-0.57,
40,-3.55,1.43,3.55,-1.43,1.80,-4.10,-1.80,4.10,2.87,-3.22,-2.87,3.22,3.95,0.52,-3.95,-0.52,
41,1.91,-3.12,-1.91,3.12,1.70,-3.95,-1.70,3.95,4.21,0.53,-4.21,-0.53,1.84,4.15,-1.84,-4.15,
42,4.03,0.34,-4.03,-0.34,4.30,-0.61,-4.30,0.61,-1.57,-3.62,1.57,3.62,-3.55,2.28,3.55,-2.28,
43,-2.07,3.94,2.07,-3.94,2.56,3.23,-2.56,-3.23,4.39,-0.91,-4.39,0.91,-1.60,-3.64,1.60,3.64,
44,-3.34,-1.73,3.34,1.73,3.26,-1.16,-3.26,1.16,0.99,3.47,-0.99,-3.47,2.89,-2.46,-2.89,2.46,
45,2.87,2.84,-2.87,-2.84,-3.78,1.29,3.78,-1.29,0.76,3.49,-0.76,-3.49,-1.01,4.12,1.01,-4.12,
46,4.14,0.02,-4.14,-0.02,-2.41,3.86,2.41,-3.86,-1.47,3.98,1.47,-3.98,-3.02,2.22,3.02,-2.22,
47,3.64,-0.21,-3.64,0.21,3.69,-2.31,-3.69,2.31,1.17,-3.77,-1.17,3.77,-2.62,2.89,2.62,-2.89,
48,1.71,-3.45,-1.71,3.45,-2.80,2.52,2.80,-2.52,2.26,2.81,-2.26,-2.81,3.44,2.57,-3.44,-2.57,
49,-3.62,-1.79,3.62,1.79,2.21,-2.99,-2.21,2.99,1.61,3.20,-1.61,-3.20,3.66,0.68,-3.66,-0.68,
50,-2.19,2.91,2.19,-2.91,-4.12,1.25,4.12,-1.25,-3.90,-1.61,3.90,1.61,-1.15,-3.55,1.15,3.55,
51,3.10,-2.42,-3.10,2.42,-1.11,3.56,1.11,-3.56,3.41,-1.30,-3.41,1.30,2.00,3.67,-2.00,-3.67,
52,-4.42,-0.47,4.42,0.47,-4.00,0.70,4.00,-0.70,0.80,3.63,-0.80,-3.63,2.60,3.13,-2.60,-3.13,
53,-2.14,-3.30,2.14,3.30,4.02,-1.37,-4.02,1.37,-1.97,3.58,1.97,-3.58,-3.77,-0.32,3.77,0.32,
54,-2.85,-3.00,2.85,3.00,-2.88,2.07,2.88,-2.07,-1.76,3.77,1.76,-3.77,1.91,2.97,-1.91,-2.97,
55,2.11,-2.98,-2.11,2.98,2.91,3.04,-2.91,-3.04,3.15,-2.33,-3.15,2.33,-3.46,-2.32,3.46,2.32,
56,-2.91,3.47,2.91,-3.47,3.64,-0.79,-3.64,0.79,3.59,0.94,-3.59,-0.94,-4.12,-0.24,4.12,0.24,
57,-3.22,2.40,3.22,-2.40,-2.59,-3.07,2.59,3.07,-3.07,-2.23,3.07,2.23,0.94,-3.63,-0.94,3.63,
58,-2.03,2.97,2.03,-2.97,4.38,-0.06,-4.38,0.06,2.34,3.39,-2.34,-3.39,3.31,2.20,-3.31,-2.20,
59,1.88,3.96,-1.88,-3.96,3.23,-2.98,-3.23,2.98,1.25,-4.31,-1.25,4.31,-3.28,-3.09,3.28,3.09,
60,-1.99,2.97,1.99,-2.97,-3.09,-2.36,3.09,2.36,4.07,0.62,-4.07,-0.62,-3.54,1.28,3.54,-1.28,
61,-4.16,-1.57,4.16,1.57,-0.93,-3.96,0.93,3.96,-3.48,2.02,3.48,-2.02,-2.59,-2.85,2.59,2.85,
62,-3.95,1.97,3.95,-1.97,3.49,1.12,-3.49,-1.12,-3.02,-2.51,3.02,2.51,4.36,0.21,-4.36,-0.21,
63,-3.45,-2.14,3.45,2.14,3.22,-1.83,-3.22,1.83,3.34,3.10,-3.34,-3.10,4.46,-0.54,-4.46,0.54,
64,-1.94,3.42,1.94,-3.42,2.22,2.71,-2.22,-2.71,3.66,-1.23,-3.66,1.23,-4.27,0.04,4.27,-0.04,
65,-1.23,3.92,1.23,-3.92,0.83,3.85,-0.83,-3.85,3.22,-1.84,-3.22,1.84,-1.61,-3.61,1.61,3.61,
66,3.94,0.96,-3.94,-0.96,-3.29,-2.06,3.29,2.06,-1.91,3.31,1.91,-3.31,-3.96,0.32,3.96,-0.32,
67,-2.42,2.96,2.42,-2.96,-3.95,0.70,3.95,-0.70,-1.73,3.81,1.73,-3.81,3.18,-2.50,-3.18,2.50,
68,3.82,1.76,-3.82,-1.76,-3.71,1.58,3.71,-1.58,-3.60,0.53,3.60,-0.53,-0.80,4.28,0.80,-4.28,
69,3.80,-2.11,-3.80,2.11,3.77,1.08,-3.77,-1.08,-2.82,-2.61,2.82,2.61,-3.07,3.23,3.07,-3.23,
70,-0.86,3.44,0.86,-3.44,2.39,2.87,-2.39,-2.87,3.66,-2.30,-3.66,2.30,4.29,0.03,-4.29,-0.03,
71,2.53,-2.48,-2.53,2.48,-2.14,-4.03,2.14,4.03,4.36,0.29,-4.36,-0.29,2.31,-3.59,-2.31,3.59,
72,-3.19,1.79,3.19,-1.79,3.06,-2.69,-3.06,2.69,4.02,-1.44,-4.02,1.44,-1.33,3.36,1.33,-3.36,
73,2.88,2.39,-2.88,-2.39,3.51,-1.57,-3.51,1.57,1.04,4.35,-1.04,-4.35,2.61,3.38,-2.61,-3.38,
74,-1.72,3.74,1.72,-3.74,4.38,0.43,-4.38,-0.43,0.83,3.70,-0.83,-3.70,-3.84,1.03,3.84,-1.03,
75,-2.64,-3.26,2.64,3.26,-3.51,-2.34,3.51,2.34,1.26,-3.48,-1.26,3.48,-3.82,2.09,3.82,-2.09,
76,-0.90,-3.97,0.90,3.97,-3.72,-1.94,3.72,1.94,-1.11,4.07,1.11,-4.07,-3.79,-0.79,3.79,0.79,
77,4.26,-1.63,-4.26,1.63,-4.41,0.29,4.41,-0.29,2.19,3.58,-2.19,-3.58,-1.11,-3.58,1.11,3.58,
78,-3.64,-1.43,3.64,1.43,-1.96,3.76,1.96,-3.76,-2.34,2.81,2.34,-2.81,-3.47,1.90,3.47,-1.90,
79,-3.24,2.68,3.24,-2.68,-1.36,-3.54,1.36,3.54,1.22,-3.92,-1.22,3.92,-4.46,0.25,4.46,-0.25,
80,-2.24,3.15,2.24,-3.15,3.84,0.87,-3.84,-0.87,-2.44,-2.52,2.44,2.52,-3.41,-1.55,3.41,1.55,
81,-3.70,1.80,3.70,-1.80,-4.36,-0.72,4.36,0.72,-3.71,-1.27,3.71,1.27,2.06,-3.69,-2.06,3.69,
82,-2.90,3.48,2.90,-3.48,1.60,4.14,-1.60,-4.14,4.35,0.17,-4.35,-0.17,2.20,-2.94,-2.20,2.94,
83,-3.91,0.23,3.91,-0.23,2.23,3.38,-2.23,-3.38,3.36,-1.42,-3.36,1.42,3.39,0.86,-3.39,-0.86,
84,1.98,3.55,-1.98,-3.55,-3.05,-1.94,3.05,1.94,3.87,1.50,-3.87,-1.50,-1.30,4.35,1.30,-4.35,
85,3.06,2.85,-3.06,-2.85,-2.48,3.24,2.48,-3.24,3.72,-0.83,-3.72,0.83,4.42,0.46,-4.42,-0.46,
86,-2.50,2.56,2.50,-2.56,-3.92,-0.15,3.92,0.15,-1.23,-3.52,1.23,3.52,1.21,-3.52,-1.21,3.52,
87,-4.38,-0.01,4.38,0.01,-0.89,3.52,0.89,-3.52,-3.61,-0.49,3.61,0.49,3.84,-1.37,-3.84,1.37,
88,2.21,3.72,-2.21,-3.72,3.08,2.43,-3.08,-2.43,-3.83,-0.35,3.83,0.35,1.37,-3.48,-1.37,3.48,
89,-2.45,3.43,2.45,-3.43,-3.94,-0.38,3.94,0.38,-2.28,-2.87,2.28,2.87,3.38,1.26,-3.38,-1.26,
90,-3.48,-2.33,3.48,2.33,2.69,-2.71,-2.69,2.71,1.85,-3.99,-1.85,3.99,1.78,3.47,-1.78,-3.47,
91,1.72,3.13,-1.72,-3.13,3.87,-1.92,-3.87,1.92,1.25,4.11,-1.25,-4.11,3.52,-0.37,-3.52,0.37,
92,-1.89,3.11,1.89,-3.11,3.50,1.36,-3.50,-1.36,-4.42,1.21,4.42,-1.21,-3.86,-0.16,3.86,0.16,
93,3.10,2.34,-3.10,-2.34,2.71,3.52,-2.71,-3.52,0.93,4.44,-0.93,-4.44,-3.10,1.49,3.10,-1.49,
94,-3.50,0.71,3.50,-0.71,-2.44,-2.68,2.44,2.68,-2.73,3.36,2.73,-3.36,1.73,4.15,-1.73,-4.15,
95,2.17,-3.52,-2.17,3.52,-3.60,1.72,3.60,-1.72,3.98,-0.17,-3.98,0.17,1.19,-4.32,-1.19,4.32,
96,-3.86,1.40,3.86,-1.40,-4.29,-0.73,4.29,0.73,-3.60,2.17,3.60,-2.17,-4.05,-1.78,4.05,1.78,
97,-3.46,2.06,3.46,-2.06,-4.21,1.20,4.21,-1.20,-0.65,3.52,0.65,-3.52,1.64,-3.28,-1.64,3.28,
98,4.10,-1.77,-4.10,1.77,-2.34,3.38,2.34,-3.38,3.70,0.57,-3.70,-0.57,-3.34,-2.55,3.34,2.55,
99,-4.21,0.59,4.21,-0.59,-3.13,-2.46,3.13,2.46,-3.54,1.52,3.54,-1.52,1.08,-4.20,-1.08,4.20,
100,-3.87,0.71,3.87,-0.71,-1.13,4.06,1.13,-4.06,3.26,-1.73,-3.26,1.73,2.24,3.24,-2.24,-3.24,
101,1.86,3.33,-1.86,-3.33,1.23,-3.47,-1.23,3.47,-1.59,-4.17,1.59,4.17,-3.97,-0.09,3.97,0.09,
102,2.31,-3.66,-2.31,3.66,3.70,1.90,-3.70,-1.90,-1.45,3.23,1.45,-3.23,4.10,0.96,-4.10,-0.96,
103,-1.05,3.97,1.05,-3.97,-2.68,3.22,2.68,-3.22,-2.92,2.26,2.92,-2.26,2.73,3.14,-2.73,-3.14,
104,2.81,2.70,-2.81,-2.70,-3.56,0.70,3.56,-0.70,-1.46,4.05,1.46,-4.05,3.90,0.81,-3.90,-0.81,
105,-3.78,-1.29,3.78,1.29,-1.18,3.76,1.18,-3.76,-4.17,0.27,4.17,-0.27,3.10,2.38,-3.10,-2.38,
106,-3.93,-1.11,3.93,1.11,-2.72,3.03,2.72,-3.03,1.22,-4.15,-1.22,4.15,-3.75,-0.27,3.75,0.27,
107,-3.93,0.71,3.93,-0.71,2.64,-3.36,-2.64,3.36,-4.04,-1.13,4.04,1.13,-2.63,-3.18,2.63,3.18,
108,-2.60,3.14,2.60,-3.14,-1.75,3.65,1.75,-3.65,-2.57,-2.91,2.57,2.91,3.14,-2.21,-3.14,2.21,
109,2.18,-3.25,-2.18,3.25,4.08,-0.44,-4.08,0.44,-1.00,-3.56,1.00,3.56,-3.69,2.11,3.69,-2.11,
110,-2.40,-3.21,2.40,3.21,-3.58,1.12,3.58,-1.12,1.87,-4.03,-1.87,4.03,3.24,2.82,-3.24,-2.82,
111,3.46,2.49,-3.46,-2.49,1.02,-3.95,-1.02,3.95,-3.80,-0.65,3.80,0.65,4.03,-0.66,-4.03,0.66,
112,3.73,2.10,-3.73,-2.10,-1.98,3.45,1.98,-3.45,-4.17,0.78,4.17,-0.78,-2.60,-3.17,2.60,3.17,
113,3.23,1.77,-3.23,-1.77,2.74,-3.00,-2.74,3.00,2.75,3.49,-2.75,-3.49,-4.14,-1.66,4.14,1.66,
114,4.29,-0.33,-4.29,0.33,-3.85,1.84,3.85,-1.84,2.53,2.67,-2.53,-2.67,-1.47,-3.95,1.47,3.95,
115,1.95,3.52,-1.95,-3.52,-3.68,2.13,3.68,-2.13,3.02,-3.21,-3.02,3.21,2.31,-3.96,-2.31,3.96,
116,-3.10,1.82,3.10,-1.82,-0.96,-3.87,0.96,3.87,-3.78,-1.10,3.78,1.10,-3.78,0.45,3.78,-0.45,
117,-4.40,-0.07,4.40,0.07,3.52,0.11,-3.52,-0.11,-1.38,-3.82,1.38,3.82,-2.17,3.21,2.17,-3.21,
118,-3.50,0.02,3.50,-0.02,3.10,-2.17,-3.10,2.17,1.20,-3.64,-1.20,3.64,-4.44,-0.26,4.44,0.26,
119,1.77,-3.75,-1.77,3.75,2.61,-2.84,-2.61,2.84,4.08,0.42,-4.08,-0.42,3.59,2.09,-3.59,-2.09,
120,2.30,2.84,-2.30,-2.84,-3.83,-1.45,3.83,1.45,2.56,-2.54,-2.56,2.54,-3.75,2.79,3.75,-2.79,
121,-0.97,-3.96,0.97,3.96,-1.13,4.43,1.13,-4.43,2.33,-3.64,-2.33,3.64,3.10,2.33,-3.10,-2.33,
122,-3.89,0.73,3.89,-0.73,3.13,1.47,-3.13,-1.47,-3.10,2.66,3.10,-2.66,1.41,-4.18,-1.41,4.18,
123,-2.10,-3.68,2.10,3.68,-2.88,2.95,2.88,-2.95,3.97,0.82,-3.97,-0.82,1.30,-4.32,-1.30,4.32,
124,-1.15,3.60,1.15,-3.60,3.89,0.99,-3.89,-0.99,3.32,-1.79,-3.32,1.79,3.22,1.67,-3.22,-1.67,
125,-1.24,4.16,1.24,-4.16,-3.41,1.51,3.41,-1.51,0.92,3.58,-0.92,-3.58,1.94,3.60,-1.94,-3.60,
126,3.36,-2.89,-3.36,2.89,3.47,-1.43,-3.47,1.43,-0.80,4.29,0.80,-4.29,0.94,3.92,-0.94,-3.92,
127,2.82,-2.53,-2.82,2.53,3.48,-1.20,-3.48,1.20,-0.83,4.08,0.83,-4.08,-1.47,3.28,1.47,-3.28,
128,4.03,0.53,-4.03,-0.53,1.70,-4.05,-1.70,4.05,1.87,3.24,-1.87,-3.24,2.92,-2.73,-2.92,2.73,
129,3.34,-2.17,-3.34,2.17,-3.97,0.33,3.97,-0.33,-1.67,-4.10,1.67,4.10,-3.28,-1.84,3.28,1.84,
130,3.69,-0.33,-3.69,0.33,-4.02,1.30,4.02,-1.30,3.85,1.46,-3.85,-1.46,3.28,-2.23,-3.28,2.23,
131,-3.11,2.94,3.11,-2.94,3.46,-1.54,-3.46,1.54,-2.36,-2.88,2.36,2.88,3.35,2.76,-3.35,-2.76,
132,-1.85,4.02,1.85,-4.02,3.72,-0.95,-3.72,0.95,3.72,0.84,-3.72,-0.84,-2.82,-2.98,2.82,2.98,
133,2.68,-2.93,-2.68,2.93,-0.62,3.46,0.62,-3.46,3.62,-1.92,-3.62,1.92,1.11,3.94,-1.11,-3.94,
134,-2.23,3.46,2.23,-3.46,2.89,1.95,-2.89,-1.95,2.38,2.69,-2.38,-2.69,-1.61,-3.32,1.61,3.32,
135,3.90,0.77,-3.90,-0.77,-4.21,0.69,4.21,-0.69,-3.36,1.98,3.36,-1.98,-1.62,3.98,1.62,-3.98,
136,-3.63,-2.16,3.63,2.16,-2.70,-2.90,2.70,2.90,3.96,-1.49,-3.96,1.49,-3.90,-0.00,3.90,0.00,
137,2.13,3.59,-2.13,-3.59,-3.67,-0.26,3.67,0.26,-0.76,3.49,0.76,-3.49,-3.56,-1.47,3.56,1.47,
138,0.80,-3.82,-0.80,3.82,4.10,1.20,-4.10,-1.20,-3.03,2.30,3.03,-2.30,4.44,0.21,-4.44,-0.21,
139,1.57,3.80,-1.57,-3.80,2.06,-3.96,-2.06,3.96,-4.05,1.42,4.05,-1.42,-2.79,2.19,2.79,-2.19,
140,1.32,3.79,-1.32,-3.79,3.06,-2.19,-3.06,2.19,-3.12,-2.22,3.12,2.22,-1.30,4.15,1.30,-4.15,
141,-4.25,1.39,4.25,-1.39,-3.73,-1.47,3.73,1.47,3.17,-3.22,-3.17,3.22,2.81,2.80,-2.81,-2.80,
142,3.48,2.42,-3.48,-2.42,-0.88,-4.23,0.88,4.23,-2.06,3.05,2.06,-3.05,-3.79,0.21,3.79,-0.21,
143,3.30,-2.09,-3.30,2.09,-1.54,3.83,1.54,-3.83,2.66,3.32,-2.66,-3.32,-1.71,-3.35,1.71,3.35,
144,3.15,1.74,-3.15,-1.74,-1.76,-3.21,1.76,3.21,0.83,-4.04,-0.83,4.04,-2.66,2.35,2.66,-2.35,
145,-3.02,2.08,3.02,-2.08,3.68,-0.74,-3.68,0.74,-0.92,3.46,0.92,-3.46,2.91,2.60,-2.91,-2.60,
146,4.24,-0.05,-4.24,0.05,3.80,0.80,-3.80,-0.80,-3.19,-2.73,3.19,2.73,-0.87,-3.59,0.87,3.59,
147,4.40,0.42,-4.40,-0.42,2.14,3.56,-2.14,-3.56,3.14,-2.34,-3.14,2.34,-4.17,0.65,4.17,-0.65,
148,-3.84,2.04,3.84,-2.04,-3.39,-1.23,3.39,1.23,4.37,-0.96,-4.37,0.96,-2.03,-3.29,2.03,3.29,
149,2.86,2.47,-2.86,-2.47,-3.63,1.22,3.63,-1.22,-4.30,-0.72,4.30,0.72,-0.84,4.20,0.84,-4.20,
150,2.35,2.83,-2.35,-2.83,0.82,3.62,-0.82,-3.62,-3.47,1.22,3.47,-1.22,-2.68,3.20,2.68,-3.20,
151,-1.33,-3.65,1.33,3.65,-2.57,3.04,2.57,-3.04,-4.23,-0.64,4.23,0.64,-3.72,-2.02,3.72,2.02,
152,-2.23,-3.14,2.23,3.14,-2.25,3.54,2.25,-3.54,-3.94,1.55,3.94,-1.55,1.02,4.25,-1.02,-4.25,
153,-0.97,3.74,0.97,-3.74,-2.38,-3.22,2.38,3.22,-4.09,1.00,4.09,-1.00,1.29,3.82,-1.29,-3.82,
154,-1.35,-3.47,1.35,3.47,-3.64,0.56,3.64,-0.56,2.63,3.14,-2.63,-3.14,3.10,1.80,-3.10,-1.80,
155,2.66,2.75,-2.66,-2.75,-3.94,-0.29,3.94,0.29,1.99,-3.62,-1.99,3.62,3.43,-1.74,-3.43,1.74,
156,-3.64,-2.07,3.64,2.07,3.55,-1.75,-3.55,1.75,-3.95,-0.73,3.95,0.73,-2.31,3.27,2.31,-3.27,
157,-3.96,-1.02,3.96,1.02,1.21,-3.18,-1.21,3.18,4.14,-0.38,-4.14,0.38,-2.56,-3.28,2.56,3.28,
158,1.45,4.10,-1.45,-4.10,4.02,0.35,-4.02,-0.35,0.93,-4.08,-0.93,4.08,3.21,2.32,-3.21,-2.32,
159,-3.34,-1.41,3.34,1.41,3.62,-1.71,-3.62,1.71,-3.45,-2.64,3.45,2.64,2.95,-2.75,-2.95,2.75,
160,2.99,2.95,-2.99,-2.95,3.56,1.62,-3.56,-1.62,1.20,3.79,-1.20,-3.79,-4.20,0.10,4.20,-0.10,
161,3.93,0.05,-3.93,-0.05,-3.56,-1.68,3.56,1.68,0.99,3.66,-0.99,-3.66,3.53,-0.76,-3.53,0.76,
162,-4.28,1.19,4.28,-1.19,2.65,-2.95,-2.65,2.95,3.98,1.38,-3.98,-1.38,-1.80,4.02,1.80,-4.02,
163,-2.83,-3.02,2.83,3.02,-3.43,-1.92,3.43,1.92,1.76,-3.96,-1.76,3.96,-3.74,1.44,3.74,-1.44,
164,-2.84,2.20,2.84,-2.20,0.96,3.54,-0.96,-3.54,3.67,-2.07,-3.67,2.07,4.26,0.58,-4.26,-0.58,
165,4.24,0.88,-4.24,-0.88,-2.20,-3.10,2.20,3.10,1.73,-3.66,-1.73,3.66,3.44,1.85,-3.44,-1.85,
166,-1.72,3.57,1.72,-3.57,-2.78,-2.77,2.78,2.77,4.21,0.13,-4.21,-0.13,3.64,-2.26,-3.64,2.26,
167,-3.49,0.69,3.49,-0.69,-1.63,-3.56,1.63,3.56,-3.20,2.52,3.20,-2.52,-1.02,3.94,1.02,-3.94,
168,-2.01,2.70,2.01,-2.70,2.86,1.72,-2.86,-1.72,3.53,-1.68,-3.53,1.68,3.19,-2.98,-3.19,2.98,
169,-3.76,2.14,3.76,-2.14,2.98,2.55,-2.98,-2.55,-1.86,3.62,1.86,-3.62,-3.51,0.30,3.51,-0.30,
170,3.14,2.49,-3.14,-2.49,-1.18,-3.67,1.18,3.67,2.98,-2.31,-2.98,2.31,3.47,0.56,-3.47,-0.56,
171,3.44,-2.19,-3.44,2.19,-1.77,-3.59,1.77,3.59,3.82,0.12,-3.82,-0.12,0.84,-3.90,-0.84,3.90,
172,-3.91,-1.19,3.91,1.19,-1.13,-3.30,1.13,3.30,1.73,-3.71,-1.73,3.71,-2.44,-3.08,2.44,3.08,
173,2.93,-3.16,-2.93,3.16,3.70,-2.25,-3.70,2.25,-3.67,1.03,3.67,-1.03,-1.10,3.67,1.10,-3.67,
174,-3.46,2.30,3.46,-2.30,3.94,1.04,-3.94,-1.04,-1.24,-3.79,1.24,3.79,1.72,-3.79,-1.72,3.79,
175,-3.03,-2.57,3.03,2.57,3.68,-0.09,-3.68,0.09,1.05,-3.69,-1.05,3.69,-3.81,1.27,3.81,-1.27,
176,-1.50,-3.67,1.50,3.67,4.15,-0.71,-4.15,0.71,2.02,-3.08,-2.02,3.08,-2.81,2.64,2.81,-2.64,
177,-3.39,-1.68,3.39,1.68,3.35,2.72,-3.35,-2.72,4.30,-0.23,-4.30,0.23,2.77,-2.86,-2.77,2.86,
178,-1.22,4.33,1.22,-4.33,-1.07,-4.25,1.07,4.25,3.36,-2.08,-3.36,2.08,3.64,-0.64,-3.64,0.64,
179,4.11,-1.85,-4.11,1.85,-3.63,-0.24,3.63,0.24,-2.25,-3.35,2.25,3.35,2.77,2.68,-2.77,-2.68,
180,-3.63,1.43,3.63,-1.43,-2.44,-2.94,2.44,2.94,-1.50,-4.35,1.50,4.35,3.57,0.23,-3.57,-0.23,
181,-3.36,1.39,3.36,-1.39,2.62,-2.74,-2.62,2.74,-2.17,3.56,2.17,-3.56,-3.19,-2.52,3.19,2.52,
182,-3.70,1.92,3.70,-1.92,1.44,-3.22,-1.44,3.22,-2.48,3.58,2.48,-3.58,-4.03,-0.57,4.03,0.57,
183,-1.02,-3.99,1.02,3.99,3.44,2.75,-3.44,-2.75,-3.91,0.48,3.91,-0.48,-4.07,-0.86,4.07,0.86,
184,-3.98,0.91,3.98,-0.91,3.93,-1.84,-3.93,1.84,-1.08,-3.64,1.08,3.64,3.52,-2.56,-3.52,2.56,
185,-4.29,0.68,4.29,-0.68,2.48,-3.62,-2.48,3.62,-0.77,4.43,0.77,-4.43,1.38,-3.74,-1.38,3.74,
